genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G001536145	5	5.0	0.62101811170578	0.05182798206806183	0.06524722278118134	0.0412430576980114	0.02112714946269989	0.029350988566875458	0.62101811170578	0.033944644033908844	0.13624079525470734
G001799575	7	7.0	0.5384652018547058	0.003074285574257374	0.14208734035491943	0.02696472592651844	0.0030834744684398174	0.04461822286248207	0.020140672102570534	0.22156605124473572	0.5384652018547058
G001567405	4	4.0	0.333554208278656	0.021588187664747238	0.0962112545967102	0.28874626755714417	0.05865029990673065	0.333554208278656	0.09409332275390625	0.05986148491501808	0.04729502648115158
G001804605	5	5.0	0.40845298767089844	0.04705020785331726	0.07518745213747025	0.0662640631198883	0.0565999336540699	0.119156114757061	0.40845298767089844	0.03861405327916145	0.18867506086826324
G001567545	5	4.0	0.5179678201675415	0.007812425494194031	0.035095106810331345	0.0383126437664032	0.125221386551857	0.5179678201675415	0.11375215649604797	0.01230308972299099	0.14953547716140747
G900112985	3	4.0	0.4187057614326477	0.02799553982913494	0.051912449300289154	0.1774037778377533	0.19258543848991394	0.4187057614326477	0.04873264208436012	0.02850424312055111	0.05416009947657585
G001536045	5	5.0	0.6246837377548218	0.05199762433767319	0.06323719769716263	0.03948630020022392	0.020670205354690552	0.02797877788543701	0.6246837377548218	0.032068897038698196	0.1398773193359375
G000011565	0	0.0	0.48357588052749634	0.48357588052749634	0.04829859361052513	0.08783847093582153	0.061659421771764755	0.044120728969573975	0.1328238993883133	0.0382666178047657	0.10341645032167435
G001536105	5	5.0	0.6556487679481506	0.036118000745773315	0.046086281538009644	0.0330941304564476	0.015145713463425636	0.025084206834435463	0.6556487679481506	0.026912029832601547	0.16191081702709198
G000092785	0	0.0	0.49896055459976196	0.49896055459976196	0.07610893249511719	0.07205953449010849	0.014559962786734104	0.07449212670326233	0.07094673812389374	0.13680176436901093	0.056070417165756226
G001623405	4	4.0	0.7926428318023682	0.002033487893640995	0.005198946222662926	0.0715029239654541	0.10161059349775314	0.7926428318023682	0.009720898233354092	0.006074209231883287	0.01121608354151249
G000783305	3	2.0	0.3865486681461334	0.1123804897069931	0.09460561722517014	0.3865486681461334	0.10199002176523209	0.1383117139339447	0.057691529393196106	0.06194496527314186	0.04652700573205948
G001007105	0	0.0	0.9319959878921509	0.9319959878921509	0.009858958423137665	0.018122827634215355	0.003762458683922887	0.0065824370831251144	0.005631422158330679	0.011779912747442722	0.012266045436263084
G000974785	4	4.0	0.784319281578064	0.002124649239704013	0.015740836039185524	0.11220520734786987	0.01413861196488142	0.784319281578064	0.014237195253372192	0.04328102990984917	0.013953197747468948
G000204175	0	0.0	0.8851489424705505	0.8851489424705505	0.014426411129534245	0.026963716372847557	0.01285373605787754	0.016057666391134262	0.009099573828279972	0.014876521192491055	0.020573340356349945
G001438265	4	4.0	0.7074089050292969	0.004242989234626293	0.012225841172039509	0.18691617250442505	0.02283157967031002	0.7074089050292969	0.012100635096430779	0.03915052488446236	0.01512338500469923
G001919485	6	6.0	0.4692312180995941	0.016270780935883522	0.24737496674060822	0.04576011002063751	0.0051406268030405045	0.04061787575483322	0.06451262533664703	0.4692312180995941	0.11109182238578796
G000379765	2	2.0	0.45106619596481323	0.02283526584506035	0.034411851316690445	0.45106619596481323	0.07984808087348938	0.18195155262947083	0.09575270861387253	0.04542814940214157	0.08870629966259003
G900116885	2	2.0	0.5735986232757568	0.007226966321468353	0.016104863956570625	0.5735986232757568	0.02618197724223137	0.2987656593322754	0.005814581178128719	0.05070456862449646	0.021602826192975044
G001828545	1	1.0	0.3122515082359314	0.04592173546552658	0.3122515082359314	0.2063719481229782	0.0067049958743155	0.07606570422649384	0.018343379721045494	0.2378460168838501	0.09649473428726196
G001603925	7	7.0	0.28260907530784607	0.025308474898338318	0.17231839895248413	0.14144209027290344	0.010209005326032639	0.07343326508998871	0.0441630482673645	0.2505166530609131	0.28260907530784607
G002010655	7	7.0	0.6572332382202148	0.06787027418613434	0.04976581409573555	0.026393843814730644	0.007823474705219269	0.022598467767238617	0.1406847983598709	0.02763015776872635	0.6572332382202148
G000426825	3	2.0	0.45219993591308594	0.01107711624354124	0.031769007444381714	0.45219993591308594	0.020093107596039772	0.36822593212127686	0.006647832226008177	0.07141043245792389	0.03857665881514549
G001796285	0	0.0	0.6654548645019531	0.6654548645019531	0.052792105823755264	0.08507268130779266	0.007141921669244766	0.03678613528609276	0.019427545368671417	0.09170244634151459	0.041622333228588104
G001802995	5	5.0	0.3955908417701721	0.052060339599847794	0.07199494540691376	0.047796495258808136	0.052909959107637405	0.15411226451396942	0.3955908417701721	0.0392601415514946	0.18627506494522095
G000375465	4	2.0	0.43909740447998047	0.13493889570236206	0.02749316208064556	0.43909740447998047	0.09099326282739639	0.1888962686061859	0.047806933522224426	0.035204026848077774	0.03556999936699867
G001625535	0	0.0	0.9607086181640625	0.9607086181640625	0.005431554280221462	0.007744826842099428	0.0021364022977650166	0.0044179391115903854	0.00249052164144814	0.007873743772506714	0.00919653382152319
G000470765	0	0.0	0.9605972766876221	0.9605972766876221	0.005493381526321173	0.007806143257766962	0.002126476727426052	0.004365342203527689	0.0024982658214867115	0.00791796762496233	0.009195104241371155
G001824645	1	1.0	0.284950852394104	0.03287491202354431	0.284950852394104	0.14544761180877686	0.064302958548069	0.2074207067489624	0.06614629924297333	0.07985267043113708	0.11900396645069122
G001603875	7	0.0	0.35422438383102417	0.35422438383102417	0.06662578135728836	0.2219996452331543	0.06011297181248665	0.08650486916303635	0.051526445895433426	0.04854705184698105	0.1104588583111763
G001828415	1	1.0	0.32015031576156616	0.04591761901974678	0.32015031576156616	0.20491759479045868	0.006748606450855732	0.0749116837978363	0.01874522492289543	0.2327043116092682	0.095904640853405
G001439535	6	6.0	0.4025525450706482	0.019101621583104134	0.20498470962047577	0.17321881651878357	0.011191487312316895	0.09471514821052551	0.042600326240062714	0.4025525450706482	0.05163535475730896
G001535985	5	5.0	0.6175166368484497	0.052218958735466	0.06507930904626846	0.04270239174365997	0.02174266427755356	0.03043598122894764	0.6175166368484497	0.034597210586071014	0.13570690155029297
G001890965	2	2.0	0.6839085817337036	0.026978956535458565	0.016925260424613953	0.6839085817337036	0.08673757314682007	0.14111283421516418	0.01200789213180542	0.018175775185227394	0.014153113588690758
G000472485	2	2.0	0.5742692947387695	0.007963085547089577	0.016436738893389702	0.5742692947387695	0.020598895847797394	0.28636032342910767	0.004432169254869223	0.06134812906384468	0.02859138511121273
G000402415	7	5.0	0.33145952224731445	0.07664015889167786	0.0412706583738327	0.12142766267061234	0.057974912226200104	0.11104580014944077	0.33145952224731445	0.0379616916179657	0.22221964597702026
G001747095	2	2.0	0.6552610397338867	0.08173012733459473	0.03999203443527222	0.6552610397338867	0.039703384041786194	0.09533984214067459	0.027990708127617836	0.04162891209125519	0.01835395023226738
G002000245	3	2.0	0.26416829228401184	0.04278802126646042	0.08798881620168686	0.26416829228401184	0.17734691500663757	0.26257404685020447	0.05925089120864868	0.04887881875038147	0.05700419098138809
G001898485	4	4.0	0.7854669690132141	0.002436271868646145	0.013167002238333225	0.13615348935127258	0.03246944025158882	0.7854669690132141	0.006704669911414385	0.012867018580436707	0.01073512714356184
G900110645	4	2.0	0.45478835701942444	0.007582500576972961	0.05562708526849747	0.45478835701942444	0.01597778871655464	0.27687379717826843	0.024092260748147964	0.12526749074459076	0.039790719747543335
G001799915	7	7.0	0.5834830403327942	0.004677304998040199	0.1319126933813095	0.06003338098526001	0.010632018558681011	0.08429738879203796	0.01618712767958641	0.10877710580825806	0.5834830403327942
